,ID,GRADES
6,0,88.375
14,1,86.44444444444444
3,2,88.0
0,3,88.5
7,4,87.94444444444444
8,5,88.125
12,6,88.8888888888889
4,7,86.60000000000002
16,8,86.5
9,9,89.66666666666669
15,10,89.06666666666666
11,11,89.0
10,12,90.2
17,13,87.5
18,14,87.7142857142857
2,15,87.3125
5,16,86.54545454545455
13,17,88.05882352941177
1,18,87.45
19,19,86.71428571428572
